FAZENDA,ESTADO,MUNICÍPIO,Nº ANIMAL,LOTE,RAÇA,CATEGORIA,ECC,CICLICIDADE,PROTOCOLO,IMPLANTE P4,EMPRESA,GnRH NA IA,PGF NO D0,Dose PGF retirada,Marca PGF retirada,Dose CE,eCG,DOSE eCG,TOURO,RAÇA TOURO,EMPRESA TOURO,INSEMINADOR,Nº da IATF,DG,VAZIA COM OU SEM CL,PERDA
Fazenda Santa Luzia,BA,Salvador,300001,LT0701SN,Angus,Primípara,2.1,1,7 dias,CIDR,Bayer,0,1,1,Lutalise,0.5 mg,Folligon,300 UI,Touro5001,Nelore,Genex,Joana Mendes,IATF 4001,0,0,1
Fazenda do Campo,SP,Campinas,300002,LT0702BV,Nelore,Multípara,2.3,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5002,Hereford,CRV Lagoa,Carlos Silva,IATF 4002,1,1,0
Fazenda Nova Vida,MG,Uberlândia,300003,LT0703DF,Hereford,Secundípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5003,Brangus,Alta Genetics,Mariana Oliveira,IATF 4003,0,0,1
Fazenda da Serra,RJ,Rio de Janeiro,300004,LT0704PA,Brangus,Primípara precoce,3.1,0,7 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5004,Charolais,ABS Pecplan,Ricardo Santos,IATF 4004,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300005,LT0705ES,Charolais,Primípara,3.3,1,7 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5005,Senepol,Genex,Ana Maria,IATF 4005,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300006,LT0706SN,Senepol,Multípara,3.5,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5006,Brahman,CRV Lagoa,Patrícia Nunes,IATF 4006,1,1,0
Fazenda Verde Vale,MG,Curitiba,300007,LT0707BV,Brahman,Secundípara,3.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5007,Angus,Alta Genetics,Mariana Oliveira,IATF 4007,0,0,1
Fazenda Esperança,RJ,Niterói,300008,LT0708DF,Canchim,Primípara precoce,3.9,0,7 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5008,Nelore,ABS Pecplan,Ricardo Santos,IATF 4008,1,1,0
Fazenda Santa Luzia,BA,Florianópolis,300009,LT0709PA,Simmental,Primípara,2.1,1,8 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5009,Hereford,Genex,Joana Mendes,IATF 4009,0,0,1
Fazenda do Campo,SP,Vitória,300010,LT0710ES,Limousin,Multípara,2.3,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5010,Brangus,CRV Lagoa,Carlos Silva,IATF 4010,1,1,0
Fazenda Nova Vida,MG,Salvador,300011,LT0711SN,Hereford,Secundípara,2.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5011,Charolais,Alta Genetics,Mariana Oliveira,IATF 4011,0,0,1
Fazenda da Serra,RJ,Campinas,300012,LT0712BV,Brangus,Primípara precoce,3.1,0,8 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5012,Senepol,ABS Pecplan,Ricardo Santos,IATF 4012,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300013,LT0713DF,Charolais,Primípara,3.3,1,9 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5013,Brahman,Genex,Ana Maria,IATF 4013,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300014,LT0714PA,Senepol,Multípara,3.5,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5014,Angus,CRV Lagoa,Patrícia Nunes,IATF 4014,1,1,0
Fazenda Verde Vale,MG,Curitiba,300015,LT0715ES,Brahman,Secundípara,3.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5015,Nelore,Alta Genetics,Mariana Oliveira,IATF 4015,0,0,1
Fazenda Esperança,RJ,Niterói,300016,LT0716SN,Canchim,Primípara precoce,3.9,0,9 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5016,Hereford,ABS Pecplan,Ricardo Santos,IATF 4016,1,1,0
Fazenda Santa Luzia,BA,Florianópolis,300017,LT0717BV,Simmental,Primípara,2.1,1,7 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5017,Brangus,Genex,Joana Mendes,IATF 4017,0,0,1
Fazenda do Campo,SP,Vitória,300018,LT0718DF,Limousin,Multípara,2.3,0,8 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5018,Charolais,CRV Lagoa,Carlos Silva,IATF 4018,1,1,0
Fazenda Nova Vida,MG,Salvador,300019,LT0719PA,Hereford,Secundípara,2.7,1,9 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5019,Senepol,Alta Genetics,Mariana Oliveira,IATF 4019,0,0,1
Fazenda da Serra,RJ,Campinas,300020,LT0720ES,Brangus,Primípara precoce,3.1,0,7 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5020,Brahman,ABS Pecplan,Ricardo Santos,IATF 4020,1,1,0
Fazenda Jardim,RS,Belo Horizonte,300021,LT0721SN,Charolais,Primípara,3.3,1,8 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5021,Angus,Genex,Ana Maria,IATF 4021,0,0,1
Fazenda Monte Alegre,SP,Porto Alegre,300022,LT0722BV,Senepol,Multípara,3.5,0,9 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5022,Nelore,CRV Lagoa,Patrícia Nunes,IATF 4022,1,1,0
Fazenda Verde Vale,MG,Curitiba,300023,LT0723DF,Brahman,Secundípara,3.7,1,7 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5023,Hereford,Alta Genetics,Mariana Oliveira,IATF 4023,0,0,1
Fazenda Esperança,RJ,Niterói,300024,LT0724PA,Canchim,Primípara precoce,3.9,0,8 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5024,Brangus,ABS Pecplan,Ricardo Santos,IATF 4024,1,1,0
Fazenda Santa Luzia,BA,Florianópolis,300025,LT0725ES,Simmental,Primípara,2.1,1,9 dias,CIDR,Bayer,0,1,1,Primer monodose,0.5 mg,Folligon,300 UI,Touro5025,Charolais,Genex,Joana Mendes,IATF 4025,0,0,1
Fazenda do Campo,SP,Vitória,300026,LT0726SN,Limousin,Multípara,2.3,0,7 dias,Primer monodose,Agener,1,0,2,Estrumate,0.6 mg,eCGEN,200 UI,Touro5026,Senepol,CRV Lagoa,Carlos Silva,IATF 4026,1,1,0
Fazenda Nova Vida,MG,Salvador,300027,LT0727BV,Hereford,Secundípara,2.7,1,8 dias,Repro one,Globalgen,0,1,1+1,Ciosin,1.0 mg,Novormon,400 UI,Touro5027,Brahman,Alta Genetics,Mariana Oliveira,IATF 4027,0,0,1
Fazenda da Serra,RJ,Campinas,300028,LT0728DF,Brangus,Primípara precoce,3.1,0,9 dias,Fertilcare 600,MSD,1,0,2,Lutalise,0.5 mg,Folligon,300 UI,Touro5028,Angus,ABS Pecplan,Ricardo Santos,IATF 4028,1,1,0
